Ecovillage_Name,Latitude,Longitude,Country,URL_1,URL_2,URL_3,URL_4,URL_5,URL_6,URL_7,URL_8,URL_9,URL_10
Sadhana Forest Kenya,0.949224,36.765913,,,,,,,,,,,
Sadhana Forest Kenya,0.893126,36.75667,,,,,,,,,,,
Sadhana Forest Kenya,1.094932,36.701045,,,,,,,,,,,
Sadhana Forest Kenya,0.867336,36.806313,,,,,,,,,,,
Ecodorp Bergen,52.544906,4.980055,,,,,,,,,,,
Ecodorp Bergen,53.047725,4.728479,,,,,,,,,,,
Ecodorp Bergen,52.551485,4.672805,,,,,,,,,,,
Ecodorp Bergen,52.651081,4.693376,,,,,,,,,,,
Eco Truly Park,-11.469052,-77.27115,,,,,,,,,,,
Eco Truly Park,-11.574941,-77.253582,,,,,,,,,,,
Eco Truly Park,-11.995433,-77.09311,,,,,,,,,,,
Eco Truly Park,-11.636889,-77.217187,,,,,,,,,,,
Khula Dhamma Community,-32.728124,28.123413,,,,,,,,,,,
Khula Dhamma Community,-32.632669,28.25969,,,,,,,,,,,
Khula Dhamma Community,-32.329583,28.14549,,,,,,,,,,,
Khula Dhamma Community,-32.697527,28.19499,,,,,,,,,,,
Umphakatsi Peace Ecovillage,-26.032377,31.049217,,,,,,,,,,,
Umphakatsi Peace Ecovillage,-26.046766,30.914098,,,,,,,,,,,
Umphakatsi Peace Ecovillage,-26.053587,30.777157,,,,,,,,,,,
Umphakatsi Peace Ecovillage,-26.132179,30.97823,,,,,,,,,,,
Green Canvas of Light,-34.034836,22.236375,,,,,,,,,,,
Green Canvas of Light,-34.056145,22.92538,,,,,,,,,,,
Green Canvas of Light,-33.954635,22.482511,,,,,,,,,,,
Green Canvas of Light,-33.982512,22.673458,,,,,,,,,,,
Agatha Amani House,-0.787038,36.506111,,,,,,,,,,,
Agatha Amani House,-0.403916,36.268338,,,,,,,,,,,
Agatha Amani House,-1.087974,36.630078,,,,,,,,,,,
Agatha Amani House,-0.735154,36.473129,,,,,,,,,,,
