quartet_id,latitude,longitude,d_value_workbook,star_rating_workbook,all_tier1_pass_workbook,kept_despite_failing_tier1,selection_source
160,62.203563,24.782437,0.072,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
161,49.449808,30.716784,0.235,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
162,45.557945,7.830989,0.251,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
163,26.73963,55.661757,0.099,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
164,53.199015,7.087184,0.358,★★★ (3-star),True,False,"Newly generated candidate, promoted after visual inspection"
165,-8.303242,115.220089,0.2,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
166,19.299291,99.188755,0.201,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
167,30.903621,34.397062,0.105,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
168,-34.263387,115.124676,0.13,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
169,26.93048,87.690319,0.119,★★★ (3-star),True,False,"Newly generated candidate, promoted after visual inspection"
170,27.243992,86.284456,0.803,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
171,10.282388,-61.382822,0.038,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
172,-4.364657,-79.176765,0.193,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
173,10.453156,-84.274345,0.258,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
174,-14.257663,-39.265282,0.259,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
175,-22.625981,-46.914141,0.037,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
176,-22.994257,-47.188068,0.134,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
177,13.135917,-8.048391,0.075,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
178,28.037134000000002,83.799074,0.483,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
179,28.612207,34.557279,0.148,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
180,-3.204382,-78.434897,0.531,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
181,37.01,-2.739901,0.163,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
182,19.381856,-97.078764,0.269,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
183,40.867064,-3.057009,0.092,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
184,36.438188,-105.544605,0.057,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
185,32.920233,-110.728282,0.271,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
186,31.952695,-110.933283,0.068,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
187,43.518894,3.142473,0.218,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
188,61.425742,34.439842,0.232,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
189,60.740503,11.36602,0.181,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
190,58.921292,17.450216,0.334,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
191,59.38474,13.047757,0.049,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
192,45.894688,21.880667,0.079,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
193,49.1941,10.369826,0.099,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
