quartet_id,ecovillage_name,latitude,longitude,population_documentary,founding_year,koppen_group_workbook,e8_not_urban_at_founding,e10_no_exogenous_shocks,website,existing_control_lat,existing_control_lon
88,Cedar Moon,45.44079,-122.684757,,2004,C,True,TRUE (not GEE-checked; researcher-verified),,45.408333,-122.922265
89,Twin Oaks Community,37.932583,-77.992429,,1967,C,True,TRUE (not GEE-checked; researcher-verified),,37.775639,-77.899928
90,Cobb Hill Cohousing,43.548718,-72.425999,,1997,D,True,TRUE (not GEE-checked; researcher-verified),,43.534244,-72.35633
91,Avalon Organic Gardens &amp; EcoVillage,31.575956,-111.041119,,1994,B,True,TRUE (not GEE-checked; researcher-verified),,31.577358,-111.330663
92,Ixixtlan,18.870572,-98.398332,,2006,C,True,TRUE (not GEE-checked; researcher-verified),,18.891371,-98.572339
93,Abundance Ecovillage,41.042021,-91.959907,,2000,D,True,TRUE (not GEE-checked; researcher-verified),,40.957398,-92.051316
94,Stowe Farm Community,42.702264,-72.775739,,2007,D,True,TRUE (not GEE-checked; researcher-verified),,42.525879,-72.789554
95,Ecovillage at Ithaca,42.441648,-76.542637,,1995,D,True,TRUE (not GEE-checked; researcher-verified),,42.232787,-76.34217
96,The Garden,36.5982,-85.931557,,2009,C,True,TRUE (not GEE-checked; researcher-verified),,36.640071,-85.792279
97,Gita Nagari Eco-Farm and Sanctuary,40.490405,-77.461402,,1989,D,True,TRUE (not GEE-checked; researcher-verified),,40.535893,-77.818059
98,The Camphill School,40.136841,-75.707889,,1963,D,True,TRUE (not GEE-checked; researcher-verified),,40.12952,-75.637765
99,Hundredfold Farm,39.889294,-77.376676,,1998,D,True,TRUE (not GEE-checked; researcher-verified),,40.009052,-77.1164
100,Sawyer Hill Ecovillage,42.372911,-71.626188,,2006,D,True,TRUE (not GEE-checked; researcher-verified),,42.433632,-71.608996
101,Moora Moora Co-operative,-37.720704,145.569887,,1974,C,True,TRUE (not GEE-checked; researcher-verified),,-37.53839,145.474226
102,The Ecovillage at Currumbin,-28.176828,153.432741,,2002,C,True,TRUE (not GEE-checked; researcher-verified),,-28.430035,153.470574
103,Crystal Waters,-26.78553,152.718245,,1987,C,True,TRUE (not GEE-checked; researcher-verified),,-26.729528,152.718551
104,Atamai Village,-41.141905,172.956729,,2006,C,True,TRUE (not GEE-checked; researcher-verified),,-41.271814,173.006472
105,Narara Ecovillage,-33.392643,151.328289,,2013,C,True,TRUE (not GEE-checked; researcher-verified),,-33.224186,151.278573
106,Tui Community,-40.811793,172.957757,,1984,C,True,TRUE (not GEE-checked; researcher-verified),,-40.848993,172.806874
107,Wilderland,-36.886277,175.674232,,1964,C,True,TRUE (not GEE-checked; researcher-verified),,-36.731139,175.730585
108,Bellbunya Sustainable Community,-26.491096,152.853409,,2008,C,True,TRUE (not GEE-checked; researcher-verified),,-26.594966,152.726214
109,Aldinga Arts Ecovillage,-35.265685,138.479025,,2002,C,True,TRUE (not GEE-checked; researcher-verified),,-35.391444,138.46338
110,Gulpa Creek Community,-35.722683,144.893102,,1975,B,True,TRUE (not GEE-checked; researcher-verified),,-35.997911,145.111709
111,Eco Aldea de los glaciares sagrados – Maras,-13.339833,-72.144032,,2017,C,True,TRUE (not GEE-checked; researcher-verified),,-13.629295,-72.232709
112,Terra Luminous,-24.02194,-47.068398,,2013,C,True,TRUE (not GEE-checked; researcher-verified),,-23.795549,-46.926605
113,Ecovilla GAIA – Argentina,-34.947362,-59.337962,,1996,C,True,TRUE (not GEE-checked; researcher-verified),,-35.052645,-59.51279
114,El Manzano,-37.15607,-72.286233,,2000,C,True,TRUE (not GEE-checked; researcher-verified),,-37.130076,-72.187405
115,Agrovilla El Prado,4.787184,-75.643927,,2001,A,True,TRUE (not GEE-checked; researcher-verified),,4.937266,-75.73855
116,Aldeafeliz Ecovillage,4.987656,-74.279152,,2006,A,True,TRUE (not GEE-checked; researcher-verified),,5.061372,-74.236755
117,Peoples Coast Ecovillage Network,13.089183,-16.759665,,2015,A,True,TRUE (not GEE-checked; researcher-verified),,13.176568,-16.657114
118,Tlholego Ecovillage and Learning Centre,-25.684519,27.099662,,1991,C,True,TRUE (not GEE-checked; researcher-verified),,-25.632318,26.967176
119,Green Village Bali,-8.574186,115.214248,,2010,A,False,TRUE (not GEE-checked; researcher-verified),,-8.494753,115.081379
120,Assalam eco-village by the Indian Ocean,-6.448134,39.466153,,2018,A,True,TRUE (not GEE-checked; researcher-verified),,-6.365779,39.453167
121,The Sustainability Institute and Lynedoch,-33.982689,18.768245,,2004,C,True,TRUE (not GEE-checked; researcher-verified),,-33.893539,18.958776
122,Chisapani Ecovillage Tarebhir,28.20735,83.906688,,2018,C,True,TRUE (not GEE-checked; researcher-verified),,28.31353,83.878369
123,"Ruma Eco Village , Mayagdi Nepal",28.412866,83.384985,,2018,C,True,TRUE (not GEE-checked; researcher-verified),,28.464414,83.668348
